id,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
98,2020-07-31,22:14:00,1A,600 MOUNT HOLLY ST,HOMICIDE,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.679837928297,39.29396084855,,STREET,,1
99,2020-07-31,10:36:00,1A,3700 S HANOVER ST,HOMICIDE,Outside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.610153831968,39.237451615167,,STREET,,1
100,2020-07-29,23:46:00,1A,2500 BOARMAN AV,HOMICIDE,Outside,FIREARM,533.0,NORTHERN,GREENSPRING,-76.66387987991,39.33996482096,,ALLEY,,1
101,2020-07-29,21:32:00,1A,3800 POTEE ST,HOMICIDE,Outside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.611992145876,39.237023986507,,ALLEY,,1
102,2020-07-28,17:42:00,1A,4600 EDMONDSON AV,HOMICIDE,Outside,FIREARM,822.0,SOUTHWEST,HUNTING RIDGE,-76.693985772635,39.293495291565,,PARKING LOT,,1
103,2020-07-27,17:08:00,1A,1800 MCHENRY ST,HOMICIDE,Outside,FIREARM,934.0,SOUTHERN,CARROLLTON RIDGE,-76.645048252913,39.284378293374,,STREET,Tri-District,1
104,2020-07-26,23:27:00,1A,2200 FLEETWOOD AV,HOMICIDE,Outside,FIREARM,423.0,NORTHEAST,HARFORD-ECHODALE/PERRING PARKWAY,-76.569389100158,39.367138667995,,STREET,,1
105,2020-07-26,20:23:00,1A,2900 SPRINGHILL AV,HOMICIDE,Outside,FIREARM,612.0,NORTHWEST,PARK CIRCLE,-76.663307577384,39.330972002316,,PUBLIC AREA,,1
106,2020-07-25,12:37:00,1A,300 S FRANKLINTOWN RD,HOMICIDE,Outside,FIREARM,835.0,SOUTHWEST,SHIPLEY HILL,-76.657676833969,39.283581976132,,STREET,,1
107,2020-07-24,22:45:00,1A,1200 N CURLEY ST,HOMICIDE,Outside,FIREARM,332.0,EASTERN,BEREA,-76.576375346264,39.305043859075,,STREET,,1
108,2020-07-22,12:51:00,1A,3500 W CATON AV,HOMICIDE,Inside,FIREARM,835.0,SOUTHWEST,SAINT JOSEPHS,-76.676099689374,39.287913762427,,COMMON BUSINESS,,1
109,2020-07-18,13:30:00,1A,1600 LOCUST ST,HOMICIDE,Outside,FIREARM,911.0,SOUTHERN,CURTIS BAY,-76.588532491198,39.226884890211,,STREET,,1
110,2020-07-18,02:05:00,1A,3700 LEWISTON AV,HOMICIDE,Outside,FIREARM,633.0,NORTHWEST,ARLINGTON,-76.684096836398,39.34923967116,,STREET,Northwestern,1
111,2020-07-17,07:49:00,1A,800 LOW ST,HOMICIDE,Outside,FIREARM,211.0,SOUTHEAST,JONESTOWN,-76.606979892523,39.292715456355,,STREET,,1
112,2020-07-17,19:57:00,1A,2600 MCELDERRY ST,HOMICIDE,Outside,FIREARM,221.0,SOUTHEAST,MCELDERRY PARK,-76.580732424452,39.297866760907,,STREET,,1
113,2020-07-16,04:40:00,1A,2600 HARLEM AV,HOMICIDE,Outside,FIREARM,721.0,WESTERN,MOSHER,-76.660348912775,39.295690569453,,STREET,,1
114,2020-07-16,22:43:00,1A,500 SHERIDAN AV,HOMICIDE,Outside,FIREARM,523.0,NORTHERN,WOODBOURNE-MCCABE,-76.609789133386,39.354731655245,,STREET,,1
115,2020-07-16,21:03:00,1A,1600 LAURENS ST,HOMICIDE,Inside,FIREARM,724.0,WESTERN,SANDTOWN-WINCHESTER,-76.644082581503,39.303108524029,,DWELLING,,1
116,2020-07-15,14:30:00,1O,400 GUILFORD AVE,HOMICIDE,Outside,OTHER,124.0,CENTRAL,MOUNT VERNON,-76.611252113176,39.295579403994,,STREET,,1
117,2020-07-15,20:50:00,1O,1700 E BIDDLE ST,HOMICIDE,Outside,OTHER,314.0,EASTERN,BROADWAY EAST,-76.594453136882,39.304360863119,,STREET,,1
118,2020-07-13,12:36:00,1K,1100 COMET ST,HOMICIDE,Inside,KNIFE,211.0,SOUTHEAST,PLEASANT VIEW GARDENS,-76.602389591952,39.292902998749,,DWELLING,,1
119,2020-07-11,15:16:00,1A,4800 THE ALAMEDA,HOMICIDE,Outside,FIREARM,524.0,NORTHERN,NEW NORTHWOOD,-76.599473971511,39.346188100445,,DWELLING,,1
120,2020-07-11,22:50:00,1A,3400 CLIFTON AV,HOMICIDE,Outside,FIREARM,812.0,SOUTHWEST,MOUNT HOLLY,-76.674315929382,39.311045711083,,ALLEY,,1
121,2020-07-11,18:00:00,1A,2200 CECIL AV,HOMICIDE,Inside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWAY,-76.604686364036,39.314202429104,,DWELLING,Eastern 1,1
122,2020-07-08,19:16:00,1A,100 N KOSSUTH ST,HOMICIDE,Outside,FIREARM,835.0,SOUTHWEST,SAINT JOSEPHS,-76.673671000196,39.288494712634,,ALLEY,,1
123,2020-07-08,19:36:00,1A,2500 KIRK AV,HOMICIDE,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,-76.602059761465,39.318299490764,,STREET,,1
124,2020-07-06,22:01:00,1A,5300 BOSWORTH AV,HOMICIDE,Outside,FIREARM,622.0,NORTHWEST,HOWARD PARK,-76.70602228607,39.329997204336,,DWELLING,,1
125,2020-07-06,20:20:00,1A,5200 CUTHBERT AV,HOMICIDE,Outside,FIREARM,633.0,NORTHWEST,ARLINGTON,-76.680387489014,39.346299651,,STREET,Northwestern,1
126,2020-07-04,02:16:00,1A,100 S MONROE ST,HOMICIDE,Outside,FIREARM,934.0,SOUTHERN,CARROLLTON RIDGE,-76.646871020597,39.286100364636,,PUBLIC AREA,Tri-District,1
127,2020-07-03,19:51:00,1A,5200 CORDELIA AV,HOMICIDE,Outside,FIREARM,633.0,NORTHWEST,ARLINGTON,-76.682212176455,39.34620487275,,STREET,Northwestern,1
128,2020-07-02,06:26:00,1A,1800 N ROSE ST,HOMICIDE,Outside,FIREARM,332.0,EASTERN,BEREA,-76.582389385304,39.312759385304,,ALLEY,,1
129,2020-06-29,00:26:00,1A,1300 PONCA ST,HOMICIDE,Outside,FIREARM,231.0,SOUTHEAST,CANTON INDUSTRIAL AREA,-76.554485769311,39.278688346496,,VEHICLE,,1
130,2020-06-29,15:41:00,1A,1600 LAURENS ST,HOMICIDE,Outside,FIREARM,724.0,WESTERN,SANDTOWN-WINCHESTER,-76.643274508369,39.303288152442,,STREET,,1
131,2020-06-28,19:39:00,1A,2200 MCELDERRY ST,HOMICIDE,Outside,FIREARM,321.0,EASTERN,MIDDLE EAST,-76.586503414786,39.2976305592,,STREET,,1
132,2020-06-28,01:21:00,1K,300 W SARATOGA ST,HOMICIDE,Outside,KNIFE,114.0,CENTRAL,DOWNTOWN,-76.619742486213,39.292961675436,,STREET,,1
133,2020-06-25,18:34:00,1K,2300 WESTWOOD AV,HOMICIDE,Outside,KNIFE,723.0,WESTERN,COPPIN HEIGHTS/ASH-CO-EAST,-76.654124993056,39.308642077618,,ALLEY,Western,1
134,2020-06-25,21:40:00,1O,900 E HOFFMAN ST,HOMICIDE,Outside,OTHER,314.0,EASTERN,GREENMOUNT CEMETERY,-76.605103456972,39.306082956031,,STREET,,1
135,2020-06-24,02:54:00,1A,1100 E 20TH ST,HOMICIDE,Outside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWAY,-76.604182080993,39.312833919293,,VEHICLE,Eastern 1,1
136,2020-06-24,20:00:00,1A,5300 WINNER AV,HOMICIDE,Outside,FIREARM,633.0,NORTHWEST,PIMLICO GOOD NEIGHBORS,-76.676582989707,39.351436545634,,PUBLIC AREA,,1
137,2020-06-24,20:00:00,1A,5300 WINNER AV,HOMICIDE,Outside,FIREARM,633.0,NORTHWEST,PIMLICO GOOD NEIGHBORS,-76.676582989707,39.351436545634,,PUBLIC AREA,,1
138,2020-06-23,20:14:00,1A,800 ROUNDVIEW RD,HOMICIDE,Outside,FIREARM,922.0,SOUTHERN,CHERRY HILL,-76.621696346366,39.247194281265,,STREET,,1
